Numéro de projet,Code d'activité,Pourcentage de profit,Dépense à venir,Facturé à date
0000005034,06200,0.00,0.00,2456.76
0000005034,07200,0.00,0.00,2499.61
0000005034,07400,0.00,0.00,21552.50
0000005034,08100,0.00,0.00,6138.01
0000005034,09250,0.00,0.00,298.66
0000005034,10000,0.00,0.00,376.57
0000005034,25001,0.00,0.00,5437.16
0000005034,25002,0.00,0.00,62.61
0000005034,25003,0.00,0.00,1875.25
0000005035,00000,0.00,0.00,5520.00
0000005035,06100,251.01,0.00,0.00
0000005036,00000,0.00,0.00,8472.00
0000005036,01800,62.43,0.00,0.00
0000005037,00000,0.00,0.00,37936.00
0000005038,01800,57.09,0.00,362.08
0000005038,02315,0.00,0.00,474.80
0000005038,02850,0.00,0.00,8635.43
0000005038,03100,0.00,0.00,284.88
0000005038,03200,0.00,0.00,308.62
0000005038,03300,0.00,0.00,480.74
0000005038,04000,0.00,0.00,593.50
0000005038,05100,0.00,0.00,5602.64
0000005038,06100,0.00,0.00,2219.69
0000005038,06101,0.00,0.00,8249.65
0000005038,06200,0.00,0.00,344.23
0000005038,07200,0.00,0.00,486.67
0000005038,08100,0.00,0.00,11392.83
0000005038,09900,0.00,0.00,1163.26
0000005038,15500,0.00,0.00,919.93
0000005038,16000,0.00,0.00,2810.82
0000005038,25001,0.00,0.00,387.99
0000005038,25010,0.00,0.00,310.26
0000005039,00000,0.00,0.00,3962.00
0000005040,01800,173.60,0.00,733.60
0000005040,04000,0.00,0.00,10584.80
0000005040,06100,0.00,0.00,4544.85
0000005040,06101,0.00,0.00,97909.40
0000005040,07200,0.00,0.00,3850.22
0000005040,07300,0.00,0.00,396.93
0000005040,08100,0.00,0.00,2447.74
0000005040,08500,0.00,0.00,51819.21
0000005040,09250,0.00,0.00,5603.33
0000005040,09900,0.00,0.00,26462.00
0000005040,12000,0.00,0.00,7673.98
0000005040,15500,0.00,0.00,35062.15
0000005040,16000,0.00,0.00,37046.80
0000005040,25001,0.00,0.00,45566.98
0000005040,25002,0.00,0.00,8402.27
0000005040,25003,0.00,0.00,1711.15
0000005041,00000,0.00,0.00,63209.01
0000005042,00000,0.00,0.00,1500.00
0000005043,00000,0.00,0.00,6960.22
0000005044,00000,0.00,0.00,33449.32
0000005044,01800,49.91,0.00,0.00
0000005045,01800,0.00,0.00,345.00
0000005045,03100,0.00,0.00,69.00
0000005045,03300,0.00,0.00,69.00
0000005045,04000,0.00,0.00,3910.00
0000005045,05500,0.00,0.00,690.00
0000005045,06100,0.00,0.00,2254.00
0000005045,06101,0.00,0.00,12454.50
0000005045,06200,0.00,0.00,1506.50
0000005045,07200,0.00,0.00,615.25
0000005045,08100,0.00,0.00,690.00
0000005045,08500,0.00,0.00,25029.75
0000005045,09250,0.00,0.00,92.00
0000005045,09900,0.00,0.00,4600.00
0000005045,25010,0.00,0.00,811.28
0000005046,00000,0.00,0.00,1600.00
0000005047,00000,0.00,0.00,11260.75
0000005047,01800,32.08,0.00,0.00
0000006003,00000,0.00,0.00,11023.45
0000006003,01800,12.34,0.00,0.00
0000006004,00000,0.00,0.00,400.00
0000006005,00000,0.00,0.00,47919.39
0000006006,00000,0.00,0.00,1738.75
0000006007,00000,0.00,0.00,596.88
0000006008,00000,0.00,0.00,18955.48
0000006008,25001,-170.09,0.00,0.00
0000006009,00400,0.00,0.00,7939.57
0000006009,01800,260.91,0.00,2060.91
0000006009,06100,0.00,0.00,9023.28
0000006009,06101,0.00,0.00,68540.19
0000006009,08000,0.00,0.00,8036.00
0000006009,08100,0.00,0.00,41264.86
0000006009,08500,0.00,0.00,281781.19
0000006009,09900,0.00,0.00,2870.00
0000006009,25001,0.00,0.00,153.10
0000006009,25002,0.00,0.00,440.80
0000006010,01800,20.01,0.00,370.01
0000006010,06100,0.00,0.00,5200.50
0000006010,06101,0.00,0.00,17830.30
0000006010,08500,0.00,0.00,76453.19
0000006011,00400,0.00,0.00,1558.12
0000006011,01800,8.55,0.00,567.93
0000006011,06100,0.00,0.00,2827.44
0000006011,06101,0.00,0.00,22781.09
0000006011,08500,0.00,0.00,66298.42
0000006012,00000,0.00,0.00,4688.84
0000006013,00000,0.00,0.00,4000.00
0000006014,00000,0.00,0.00,1512.00
0000006015,00000,0.00,0.00,4827.93
