Numéro d'activité,Description de l'activité (francais),Description de l'activité (anglais),Code interne,Numéro de fournisseur,Numéro de G/L Achat,Montant en com. fournisseur,Montant en B/O
16140,Dispositifs de câblage,Wiring devices,,,41100,0.00,0.00
16150,Raccords de câblage,Cable connectors,,,33500,0.00,0.00
16200,Énergie électrique,Electrical power,,,41100,0.00,0.00
16210,Service,,,,,0.00,0.00
16220,Moteurs et génératrices,Motors and generators,,,33500,0.00,0.00
16230,Composantes de génératrice,Generator assemblies,,,41100,0.00,0.00
16240,Équipement de batterie,Battery equipment,,,41100,0.00,0.00
16260,Convertisseurs de puissance statiques,Static power convertors,,,41100,0.00,0.00
16270,Transformateurs,Transformers,,,41100,0.00,0.00
16280,Filtres et conditionneurs de puissance,Filters and power conditionners,,,41100,0.00,0.00
16300,Réseau de transport et de distribution,Transmission and distribution,,,33500,0.00,0.00
16310,Acc. de réseau de transport et distribution,Transmission and distribution network acc.,,,33500,0.00,0.00
16320,Commutation et protection haute tension,High voltage switching and protection,,,41100,0.00,0.00
16330,Commutation et protection basse tension,Medium-voltage switching and protection,,,41100,0.00,0.00
16340,Disp. de commutation et protec. basse tension,Low tension switching and protection devices,,,41100,0.00,0.00
16360,Postes électriques préfabriqués,Prefrabricated electric plant,,,41100,0.00,0.00
16400,Réseaux de distribution très basse tension,Low-voltage distribution,,,41100,0.00,0.00
16410,Interrupteurs et disjoncteurs sous coffret,Switchbox and circuit-breakers,,,41100,0.00,0.00
16420,Commandes sous coffret,Control box,,,41100,0.00,0.00
16430,Disp.de commutation à disj.très basse tension,Low tension circuit-brackers switching,,,41100,0.00,0.00
16440,Tableaux et centre de commande,"Switchboards, panelboards and control centres",,,41100,0.00,0.00
16450,Jeux de barres omnibus sous coffret,Bus bar sets,,,33500,0.00,0.00
16460,Transformateurs très basse tension,Low-voltage transformers,,,33500,0.00,0.00
16470,Coffrets de distribution électrique,Electrical distribution boxes,,,33500,0.00,0.00
16490,Éléments et accessoires,Accessories and elements,,,33500,0.00,0.00
16500,Éclairage,Lighting,,,33500,0.00,0.00
16510,Appareils d'éclairage intérieur,Interior Luminaires,,,33500,0.00,0.00
16520,Appareils d'éclairage extérieur,Exterior Luminaires,,,33500,0.00,0.00
16530,Éclairage de secours,Emergency lighting,,,33500,0.00,0.00
16540,Éclairage des lieux classés comme dangereux,Dangerous places lighting,,,33500,0.00,0.00
16550,Éclairage pour un usage spécial,Special-purpose lighting,,,33500,0.00,0.00
